Station;Longitude;Latitude;Elevation;Gravity
329 ;         -49.92291667;  -16.58541667;  7.020000E+02;  9.782279769975E+05
330 ;         -49.91875000;  -16.58541667;  6.970000E+02;  9.782286924483E+05
331 ;         -49.91458333;  -16.58541667;  6.880000E+02;  9.782306890637E+05
332 ;         -49.91041667;  -16.58541667;  6.840000E+02;  9.782312067938E+05
333 ;         -49.90625000;  -16.58541667;  6.760000E+02;  9.782330095380E+05
334 ;         -49.90208333;  -16.58541667;  6.660000E+02;  9.782354841436E+05
335 ;         -49.89791667;  -16.58541667;  6.470000E+02;  9.782407778993E+05
336 ;         -49.89375000;  -16.58541667;  6.450000E+02;  9.782409148881E+05
337 ;         -49.88958333;  -16.58541667;  6.500000E+02;  9.782389612630E+05
338 ;         -49.88541667;  -16.58541667;  6.490000E+02;  9.782389022178E+05
339 ;         -49.88125000;  -16.58541667;  6.470000E+02;  9.782392010412E+05
340 ;         -49.87708333;  -16.58541667;  6.410000E+02;  9.782407747385E+05
341 ;         -49.87291667;  -16.58541667;  6.200000E+02;  9.782469957056E+05
342 ;         -49.86875000;  -16.58541667;  6.040000E+02;  9.782517228695E+05
343 ;         -49.86458333;  -16.58541667;  6.160000E+02;  9.782478887615E+05
344 ;         -49.86041667;  -16.58541667;  6.370000E+02;  9.782413170074E+05
345 ;         -49.85625000;  -16.58541667;  6.450000E+02;  9.782387579649E+05
346 ;         -49.85208333;  -16.58541667;  6.510000E+02;  9.782368290236E+05
347 ;         -49.84791667;  -16.58541667;  6.590000E+02;  9.782342956512E+05
